变化性	0	0	0	1	0	0	0	0	0
maven	0	0	0	1	0	0	0	0	1
随写	0	0	0	0	0	0	0	0	1
clutter	0	0	0	0	0	0	0	0	1
脚本编程语言	0	0	0	0	0	0	1	0	0
健康常识	0	0	0	0	0	4	0	0	0
通信原理	0	1	0	0	0	0	0	0	0
jee	0	0	0	0	0	0	0	0	2
智能终端	8	0	0	0	0	0	0	0	12
留言簿	0	0	0	0	1	0	0	0	0
usb设备	0	0	0	0	0	0	1	0	0
新手	0	5	7	8	19	0	0	1	16
有向无环图	0	0	0	1	3	0	0	0	0
运行能力	2	0	0	0	0	0	0	0	0
event	15	35	23	110	9	51	5	13	2
计算生物学	0	0	0	0	104	0	0	0	0
多媒体数据	0	0	1	0	0	3	0	0	1
市场营销	5	0	0	0	3	0	0	0	6
图形学	0	0	0	0	32	1	0	0	0
打包	14	12	1	7	5	9	56	4	6
generation	0	1	15	0	13	0	0	1	0
数据访问	10	3	13	13	8	1	1	0	6
软件可靠性	0	0	0	0	6	0	0	0	0
系统重构	0	0	0	1	0	0	0	0	1
体系架构	7	0	0	2	0	1	0	0	3
sql sever	0	0	2	0	0	0	0	0	0
rft	0	0	4	0	0	0	0	0	0
digg	0	0	0	1	3	0	0	0	0
虚拟实验室	2	0	0	0	0	0	0	0	0
存储	724	153	437	165	272	127	180	12	94
rgb	0	0	0	0	0	0	0	15	3
关于我们	0	0	0	0	3	0	0	6	0
硬件层	10	0	0	0	0	1	0	0	1
initialization	1	1	20	7	0	1	2	0	0
好书	1	6	2	9	24	0	0	0	10
静态分配	0	0	0	0	0	0	7	0	0
父对象	0	0	0	0	0	0	0	7	0
网络设备	21	6	0	2	2	2	7	0	13
认证	58	2	6	15	2	7	6	0	57
构造函数	5	74	6	46	0	7	1	4	3
components	0	3	24	0	6	6	0	0	0
汇编语言	1	5	0	4	7	2	3	0	3
测试性	0	0	0	0	0	0	1	0	1
人机互动	1	0	0	0	0	0	0	0	0
语义网	1	0	0	0	45	0	0	0	0
线程安全	0	11	6	21	0	14	3	2	0
散列值	0	0	0	0	0	0	1	0	0
字典树	0	0	0	0	2	0	0	0	2
状态栏	0	0	0	0	1	9	0	1	1
个人作品	0	0	0	0	1	0	0	0	0
john	0	0	0	0	5	0	1	1	0
笔记本	14	4	2	11	9	1	5	0	16
debug	0	10	20	20	0	18	12	10	5
信息查询	0	0	0	0	0	1	0	0	0
python开发	3	0	0	0	0	0	0	0	0
信息过载	0	0	0	0	1	0	0	0	1
好书推荐	0	0	0	0	1	0	0	0	0
视频会议系统	1	0	0	0	0	0	0	0	0
